License_Plate,Make,VIN,Model,Type,Date,Miles_Driven
3N6CHH4,BYD Auto,A8G6S531N76XX2PP8,Class 6F cab & chassis 2022,Truck,2023-12-10T00:00:00Z,125
W9JGKNW,BYD Motors,E6330XLX7C8P94W9B,"K7M '30 Transit Bus, 2021",Bus,2024-02-18T00:00:00Z,106
DKVXAZX,Tesla,XT2C6LXFPMZDL5U7E,"Semi Delivery Event, 2022",Truck,2023-06-21T00:00:00Z,216
PM7502X,Ree,2U6299Y3CZAVKLMKN,P7 chassis cab 2023,Van,2024-02-15T00:00:00Z,229
D9UNX48,Tesla,XEYVEBLKE90CA7F12,"Semi Delivery Event, 2022",Truck,2024-02-28T00:00:00Z,297
41CGPVY,Nikola,A6YVZL42E6RCVV7AV,"TRE BEV, 2022",Truck,2023-05-15T00:00:00Z,159
GNJTGTL,Ree,T4F2DF6W0E11FVD9V,P7 chassis cab 2023,Van,2023-09-08T00:00:00Z,126
166349D,Ree,TZZRBLWBYR3338KDX,P7 chassis cab 2023,Van,2023-04-02T00:00:00Z,266
70GRUG7,GM Envolv,GSG9NBPHH2ME514SM,"Brightdrop zevo 600, 2022",Van,2023-07-29T00:00:00Z,106
T6RNLJT,Nikola,AKKW83X3HCUNF22CE,"TRE BEV, 2022",Truck,2023-08-15T00:00:00Z,252
WHJW9HJ,BYD Motors,U55KVCF527670K2V2,"K7M '30 Transit Bus, 2021",Bus,2023-04-15T00:00:00Z,190
PBT024J,GM Envolv,35MGUFDY66PFNNAR9,"Brightdrop zevo 600, 2022",Van,2023-06-07T00:00:00Z,201
P9G0KP2,Ree,RFL7HPDK3N61DX1DJ,P7 chassis cab 2023,Van,2023-05-04T00:00:00Z,279
CWYRHAS,BYD Motors,RHY7YFRW5808V9MP5,"K7M '30 Transit Bus, 2021",Bus,2024-02-15T00:00:00Z,151
X0H4BN8,Tesla,3Z61XGUCJW9W05152,"Semi Delivery Event, 2022",Truck,2023-08-14T00:00:00Z,277
F2LAKAW,GM Envolv,9FMB13AATA6U31535,"Brightdrop zevo 600, 2022",Van,2023-04-12T00:00:00Z,257
8YLTK6B,GM Envolv,VUVC60DCRHHCJ3ZA6,"Brightdrop zevo 600, 2022",Van,2024-01-25T00:00:00Z,191
RTDZGM0,Nikola,2378NJU70BE767K6X,"TRE BEV, 2022",Truck,2023-08-14T00:00:00Z,109
M4N03GW,BYD Motors,2WR47S9KYKGPGMSFM,"K7M '30 Transit Bus, 2021",Bus,2023-09-23T00:00:00Z,203
XPD4LG0,Tesla,X1P1K92BUGRV0ZS4R,"Semi Delivery Event, 2022",Truck,2024-03-21T00:00:00Z,261
MXVDW1X,Ree,CACDJZYERZB0XGPED,P7 chassis cab 2023,Van,2023-09-12T00:00:00Z,267
UXJ4VN8,Nikola,DYDDFV57AN9TDMVSU,"TRE BEV, 2022",Truck,2023-09-19T00:00:00Z,213
31CAKZH,Nikola,JW4H0MM6WVEVKCC3B,"TRE BEV, 2022",Truck,2023-10-06T00:00:00Z,260
9B3LF7X,Nikola,LCLER06HX8RVLLGUC,"TRE BEV, 2022",Truck,2023-12-05T00:00:00Z,237
CSW0CVM,Tesla,FKJB60ZA4M06ST3PY,"Semi Delivery Event, 2022",Truck,2023-12-19T00:00:00Z,248
335BG7L,GM Envolv,3JY7YLB7PM3TKL7CP,"Brightdrop zevo 600, 2022",Van,2023-08-30T00:00:00Z,204
82WP4GE,Tesla,H2MS03L9LAH53AJM0,"Semi Delivery Event, 2022",Truck,2024-02-10T00:00:00Z,208
EEPZF54,BYD Auto,J32NKJAZTC2DCDU86,Class 6F cab & chassis 2022,Truck,2024-03-15T00:00:00Z,268
B0CPZJV,Ree,83ZU26W48SU8WU1G5,P7 chassis cab 2023,Van,2023-10-02T00:00:00Z,141
